start_article_title,starter_article_url,selection_strat,hops_to_phil

List of Alabama A&M Bulldogs in the NFL Draft,https://en.wikipedia.org/wiki/List_of_Alabama_A%26M_Bulldogs_in_the_NFL_Draft,WORDNET,13

List of Alabama A&M Bulldogs in the NFL Draft,https://en.wikipedia.org/wiki/List_of_Alabama_A%26M_Bulldogs_in_the_NFL_Draft,NTH_LINK(1),54

List of Alabama A&M Bulldogs in the NFL Draft,https://en.wikipedia.org/wiki/List_of_Alabama_A%26M_Bulldogs_in_the_NFL_Draft,EMBEDDING_WORD2VEC,11

1932�33 Arsenal F.C. season,https://en.wikipedia.org/wiki/1932%E2%80%9333_Arsenal_F.C._season,WORDNET,10

1932�33 Arsenal F.C. season,https://en.wikipedia.org/wiki/1932%E2%80%9333_Arsenal_F.C._season,NTH_LINK(1),53

1932�33 Arsenal F.C. season,https://en.wikipedia.org/wiki/1932%E2%80%9333_Arsenal_F.C._season,EMBEDDING_WORD2VEC,12

Oppy Mountain,https://en.wikipedia.org/wiki/Oppy_Mountain,WORDNET,17
Oppy Mountain,https://en.wikipedia.org/wiki/Oppy_Mountain,NTH_LINK(1),11
Oppy Mountain,https://en.wikipedia.org/wiki/Oppy_Mountain,EMBEDDING_WORD2VEC,5
